,model,am,carb,cyl,disp,drat,gear,hp,mpg,qsec,vs,wt
0,Honda Civic,30.399999618530273,4.0,75.69999694824219,52.0,4.929999828338623,1.6150000095367432,18.520000457763672,1.0,1.0,4.0,2.0
1,Merc 450SE,16.399999618530273,8.0,275.79998779296875,180.0,3.069999933242798,4.070000171661377,17.399999618530273,0.0,0.0,3.0,3.0
2,Hornet 4 Drive,21.399999618530273,6.0,258.0,110.0,3.0799999237060547,3.2149999141693115,19.440000534057617,1.0,0.0,3.0,1.0
3,Camaro Z28,13.300000190734863,8.0,350.0,245.0,3.7300000190734863,3.8399999141693115,15.40999984741211,0.0,0.0,3.0,4.0
4,Hornet Sportabout,18.700000762939453,8.0,360.0,175.0,3.1500000953674316,3.440000057220459,17.020000457763672,0.0,0.0,3.0,2.0
5,Lincoln Continental,10.399999618530273,8.0,460.0,215.0,3.0,5.423999786376953,17.81999969482422,0.0,0.0,3.0,4.0
6,Volvo 142E,21.399999618530273,4.0,121.0,109.0,4.110000133514404,2.7799999713897705,18.600000381469727,1.0,1.0,4.0,2.0
7,Merc 230,22.799999237060547,4.0,140.8000030517578,95.0,3.9200000762939453,3.1500000953674316,22.899999618530273,1.0,0.0,4.0,2.0
8,Ford Pantera L,15.800000190734863,8.0,351.0,264.0,4.21999979019165,3.1700000762939453,14.5,0.0,1.0,5.0,4.0
9,Maserati Bora,15.0,8.0,301.0,335.0,3.5399999618530273,3.569999933242798,14.600000381469727,0.0,1.0,5.0,8.0
10,AMC Javelin,15.199999809265137,8.0,304.0,150.0,3.1500000953674316,3.434999942779541,17.299999237060547,0.0,0.0,3.0,2.0
11,Merc 240D,24.399999618530273,4.0,146.6999969482422,62.0,3.690000057220459,3.190000057220459,20.0,1.0,0.0,4.0,2.0
12,Toyota Corolla,33.900001525878906,4.0,71.0999984741211,65.0,4.21999979019165,1.8350000381469727,19.899999618530273,1.0,1.0,4.0,1.0
13,Fiat 128,32.400001525878906,4.0,78.69999694824219,66.0,4.079999923706055,2.200000047683716,19.469999313354492,1.0,1.0,4.0,1.0
14,Mazda RX4 Wag,1.0,4.0,6.0,160.0,3.9000000953674316,4.0,110.0,15.0,17.020000457763672,0.0,2.875
15,Toyota Corona,21.5,4.0,120.0999984741211,97.0,3.700000047683716,2.4649999141693115,20.010000228881836,1.0,0.0,3.0,1.0
16,Merc 450SLC,15.199999809265137,8.0,275.79998779296875,180.0,3.069999933242798,3.7799999713897705,18.0,0.0,0.0,3.0,3.0
17,Merc 450SL,17.299999237060547,8.0,275.79998779296875,180.0,3.069999933242798,3.7300000190734863,17.600000381469727,0.0,0.0,3.0,3.0
18,Ferrari Dino,19.700000762939453,6.0,145.0,175.0,3.619999885559082,2.7699999809265137,15.5,0.0,1.0,5.0,6.0
19,Fiat X1-9,27.299999237060547,4.0,79.0,66.0,4.079999923706055,1.934999942779541,18.899999618530273,1.0,1.0,4.0,1.0
20,Mazda RX4,1.0,4.0,6.0,160.0,3.9000000953674316,4.0,110.0,15.0,16.459999084472656,0.0,2.619999885559082
21,Datsun 710,22.799999237060547,4.0,108.0,93.0,3.8499999046325684,2.319999933242798,18.610000610351562,1.0,1.0,4.0,1.0
22,Lotus Europa,30.399999618530273,4.0,95.0999984741211,113.0,3.7699999809265137,1.5130000114440918,16.899999618530273,1.0,1.0,5.0,2.0
23,Valiant,18.100000381469727,6.0,225.0,105.0,2.759999990463257,3.4600000381469727,20.219999313354492,1.0,0.0,3.0,1.0
24,Cadillac Fleetwood,10.399999618530273,8.0,472.0,205.0,2.930000066757202,5.25,17.979999542236328,0.0,0.0,3.0,4.0
25,Pontiac Firebird,19.200000762939453,8.0,400.0,175.0,3.0799999237060547,3.8450000286102295,17.049999237060547,0.0,0.0,3.0,2.0
26,Chrysler Imperial,14.699999809265137,8.0,440.0,230.0,3.2300000190734863,5.34499979019165,17.420000076293945,0.0,0.0,3.0,4.0
27,Porsche 914-2,26.0,4.0,120.30000305175781,91.0,4.429999828338623,2.140000104904175,16.700000762939453,0.0,1.0,5.0,2.0
28,Merc 280,19.200000762939453,6.0,167.60000610351562,123.0,3.9200000762939453,3.440000057220459,18.299999237060547,1.0,0.0,4.0,4.0
29,Dodge Challenger,15.5,8.0,318.0,150.0,2.759999990463257,3.5199999809265137,16.8700008392334,0.0,0.0,3.0,2.0
30,Duster 360,14.300000190734863,8.0,360.0,245.0,3.2100000381469727,3.569999933242798,15.84000015258789,0.0,0.0,3.0,4.0
31,Merc 280C,17.799999237060547,6.0,167.60000610351562,123.0,3.9200000762939453,3.440000057220459,18.899999618530273,1.0,0.0,4.0,4.0
