,_id,model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
0,60b7c10ace22b88db67fd183,new_car,21.0,6,160.0,110,3.9,2.2,16.46,0,1,4,4
1,60b7c45ace22b88db67fd189,Mazda RX4,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4
2,60b7c45ace22b88db67fd18a,Mazda RX4 Wag,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4
3,60b7c45ace22b88db67fd18b,Datsun 710,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1
4,60b7c45ace22b88db67fd18c,Hornet 4 Drive,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1
5,60b7c45ace22b88db67fd18d,Hornet Sportabout,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2
6,60b7c45ace22b88db67fd18e,Valiant,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1
7,60b7c45ace22b88db67fd18f,Duster 360,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4
8,60b7c45ace22b88db67fd190,Merc 240D,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2
9,60b7c45ace22b88db67fd191,Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2
10,60b7c45ace22b88db67fd192,Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4
11,60b7c45ace22b88db67fd193,Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4
12,60b7c45ace22b88db67fd194,Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3
13,60b7c45ace22b88db67fd195,Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3
14,60b7c45ace22b88db67fd196,Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3
15,60b7c45ace22b88db67fd197,Cadillac Fleetwood,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4
16,60b7c45ace22b88db67fd198,Lincoln Continental,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4
17,60b7c45ace22b88db67fd199,Chrysler Imperial,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4
18,60b7c45ace22b88db67fd19a,Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1
19,60b7c45ace22b88db67fd19b,Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2
20,60b7c45ace22b88db67fd19c,Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1
21,60b7c45ace22b88db67fd19d,Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1
22,60b7c45ace22b88db67fd19e,Dodge Challenger,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2
23,60b7c45ace22b88db67fd19f,AMC Javelin,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2
24,60b7c45ace22b88db67fd1a0,Camaro Z28,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4
25,60b7c45ace22b88db67fd1a1,Pontiac Firebird,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2
26,60b7c45ace22b88db67fd1a2,Fiat X1-9,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1
27,60b7c45ace22b88db67fd1a3,Porsche 914-2,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2
28,60b7c45ace22b88db67fd1a4,Lotus Europa,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2
29,60b7c45ace22b88db67fd1a5,Ford Pantera L,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4
30,60b7c45ace22b88db67fd1a6,Ferrari Dino,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6
31,60b7c45ace22b88db67fd1a7,Maserati Bora,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8
32,60b7c45ace22b88db67fd1a8,Volvo 142E,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2
